service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
PlayHT,Shrouk Conversational,s3://voice-cloning-zero-shot/67c03807-03c3-496b-bcb4-aebd3afa2497/original/manifest.json,Arabic,,female,,arabic,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Arabic+Shrouk+Conversational.wav,,PlayHT
PlayHT,Shrouk Narrative,s3://voice-cloning-zero-shot/4aa345f0-768b-43d8-86c7-10006f73e377/original/manifest.json,Arabic,,female,,arabic,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Arabic+Shrouk+Narrative.wav,,PlayHT
PlayHT,Mousmi Conversational,s3://voice-cloning-zero-shot/1712cfb3-6774-4d2b-8ce0-f4cf94bd57d5/original/manifest.json,Bengali,,female,,indian,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Bengali+Mousmi+Conversational.wav,,PlayHT
PlayHT,Mousmi Narrative,s3://voice-cloning-zero-shot/d7dfaccf-390a-488c-9a05-d100b7b8cd05/original/manifest.json,Bengali,,female,,indian,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Bengali+Mousmi+Narrative.wav,,PlayHT
PlayHT,Tasmia Conversational,s3://voice-cloning-zero-shot/bf2c2226-e02c-4b8d-96ac-ff1149d95e40/original/manifest.json,Bengali,,female,,indian,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Bengali+Tasmia+Conversational.wav,,PlayHT
PlayHT,Tasmia Narrative,s3://voice-cloning-zero-shot/da523c41-f801-4d60-b8aa-f0a533ef8cfa/original/manifest.json,Bengali,,female,,indian,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Bengali+Tasmia+Narrative.wav,,PlayHT
PlayHT,Tasmia Podcast,s3://voice-cloning-zero-shot/c575de57-e52a-4055-bc10-19d749846dac/original/manifest.json,Bengali,,female,,indian,,,https://parrot-samples.s3.amazonaws.com/v3-samples/Bengali+Tasmia+Podcast.wav,,PlayHT
PlayHT,Inara,s3://voice-cloning-zero-shot/adb83b67-8d75-48ff-ad4d-a0840d231ef1/original/manifest.json,English,,female,,american,,,https://peregrine-samples.s3.us-east-1.amazonaws.com/parrot-samples/Inara_Sample.wav,,PlayHT
PlayHT,Nia,s3://voice-cloning-zero-shot/831bd330-85c6-4333-b2b4-10c476ea3491/original/manifest.json,English,,female,,american,,,https://peregrine-samples.s3.us-east-1.amazonaws.com/parrot-samples/Nia_Sample.wav,,PlayHT
PlayHT,Adelaide,s3://voice-cloning-zero-shot/f9bf96ae-19ef-491f-ae69-644448800566/original/manifest.json,English (AU),,female,,australian,,,https://parrot-samples.s3.amazonaws.com/gargamel/Adelaide.wav,,PlayHT
PlayHT,Pia,s3://voice-cloning-zero-shot/74f59ea4-f07b-4d10-88d1-ca174adac3f3/original/manifest.json,English (AU),,female,,australian,,,https://parrot-samples.s3.amazonaws.com/gargamel/Pia.wav,,PlayHT
PlayHT,Charlotte (Meditation),s3://peregrine-voices/charlotte meditation 2 parrot saad/manifest.json,English (CA),,female,adult,canadian,,meditation,https://peregrine-samples.s3.amazonaws.com/parrot-samples/charlotte+meditation.wav,,PlayHT
PlayHT,Charlotte (Narrative),s3://voice-cloning-zero-shot/a59cb96d-bba8-4e24-81f2-e60b888a0275/charlottenarrativesaad/manifest.json,English (CA),,female,adult,canadian,,narrative,https://parrot-samples.s3.amazonaws.com/kettle/charlotte+(narrative).wav,,PlayHT
PlayHT,Charlotte (Narrative),s3://mockingbird-prod/charlotte_vo_narrative_9290be17-ccea-4700-a7fd-a8fe5c49fb20/voices/speaker/manifest.json,English (CA),,female,adult,canadian,,narrative,https://peregrine-samples.s3.us-east-1.amazonaws.com/editor-samples/charlotte_vo_narrative.wav,,PlayHT
PlayHT,Charlotte (Training),s3://peregrine-voices/charlotte_training_parrot_saad/manifest.json,English (CA),,female,adult,canadian,,training,https://peregrine-samples.s3.amazonaws.com/parrot-samples/charlotte+training.wav,,PlayHT
PlayHT,Olivia (Narrative),s3://peregrine-voices/olivia_ads3_parrot_saad/manifest.json,English (CA),,female,,canadian,,narrative,https://peregrine-samples.s3.amazonaws.com/parrot-samples/olivia+narrative.wav,,PlayHT
PlayHT,Olivia (Training),s3://voice-cloning-zero-shot/9b390a6b-7048-4dc4-a714-76ea2c3a6eab/oliviatrainingsaad/manifest.json,English (CA),,female,,canadian,,training,https://parrot-samples.s3.amazonaws.com/kettle/olivia+(training).wav,,PlayHT
PlayHT,Olivia (Training),s3://mockingbird-prod/olivia_vo_training_4376204f-a411-4e5d-a5c0-ce6cc3908052/voices/speaker/manifest.json,English (CA),,female,,canadian,,training,https://peregrine-samples.s3.us-east-1.amazonaws.com/editor-samples/olivia_vo_training.wav,,PlayHT
PlayHT,Lumi,s3://voice-cloning-zero-shot/640a6636-dc16-4911-b75a-1549daae2c71/original/manifest.json,English (FI),,female,,finnish,,,https://parrot-samples.s3.amazonaws.com/gargamel/Lumi.wav,,PlayHT
PlayHT,Amelia,s3://voice-cloning-zero-shot/34eaa933-62cb-4e32-adb8-c1723ef85097/original/manifest.json,English (GB),,female,,british,,,https://parrot-samples.s3.amazonaws.com/gargamel/Amelia.wav,,PlayHT
PlayHT,Eileen,s3://mockingbird-prod/eileen_vo_5d7b2bcc-d635-4301-97e8-d97c13768514/voices/speaker/manifest.json,English (GB),,female,,british,,narrative,https://peregrine-samples.s3.us-east-1.amazonaws.com/editor-samples/eileen_vo.wav,,PlayHT
PlayHT,Indigo,s3://voice-cloning-zero-shot/97580643-b568-4198-aaa4-3e07e4a06c47/original/manifest.json,English (GB),,female,,british,,,https://parrot-samples.s3.amazonaws.com/gargamel/Indigo.wav,,PlayHT
PlayHT,Isabella,s3://voice-cloning-zero-shot/a0fa25cc-5f42-4dd0-8a78-a950dd5297cd/original/manifest.json,English (GB),,female,,british,,,https://parrot-samples.s3.amazonaws.com/gargamel/Isabella.wav,,PlayHT
PlayHT,Sarah,s3://voice-cloning-zero-shot/820da3d2-3a3b-42e7-844d-e68db835a206/sarah/manifest.json,English (GB),,female,adult,british,,,https://peregrine-samples.s3.amazonaws.com/parrot-samples/sarah.wav,,PlayHT
PlayHT,Scarlett,s3://voice-cloning-zero-shot/32b943f6-87cf-4e15-8e7a-d4cb848e3689/original/manifest.json,English (GB),,female,,british,,,https://parrot-samples.s3.amazonaws.com/gargamel/Scarlett.wav,,PlayHT
PlayHT,Niamh,s3://voice-cloning-zero-shot/928ed0a0-2271-4710-a7c9-1711d36b9897/original/manifest.json,English (IE),,female,,irish,,,https://parrot-samples.s3.amazonaws.com/gargamel/Niamh.wav,,PlayHT
