service,name,id,language,language_code,gender,age,accent,voice_type,style,sample_url,description,category
ElevenLabs,Daniel,onwK4e9ZLuTAKqWW03F9,en,en,male,middle_aged,british,informative_educational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/onwK4e9ZLuTAKqWW03F9/7eee0236-1a72-4b86-b303-5dcadc007ba9.mp3,,premade
ElevenLabs,David - Wise & Knowledgeable,WdZjiN0nNcik2LBjOHiv,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/aISc0ufUeVPVVyZMcfTGebV6WVQ2/voices/WdZjiN0nNcik2LBjOHiv/L5FxGboQS3xuRorNVX7v.mp3,,shared
ElevenLabs,Deshna Sogam - Children's Bedtime Storyteller,8dRG2ER7ThdAWJwK71hG,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/8dRG2ER7ThdAWJwK71hG/T2n21wo5QLwEEyJuslV2.mp3,,shared
ElevenLabs,Emma,JEodHWFLSPDqInQabKDQ,,,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/zXLskKNoN6UTa7ewov3SW3fB5ex2/voices/6Axqsz5KmqYsBbybgRmA/d8868071-69c6-4699-a8e0-9ed3c91060bc.mp3,,generated
ElevenLabs,Emma ,pofNv9dY6xDm4jhaTzDc,,,female,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/9Db7pWvpiZMs7YYnEIDSKtCRoIv1/voices/C3cbjusnqh5cK5PGOjrW/ed990343-fb3b-4b2a-8022-bbbff1ec18dc.mp3,,generated
ElevenLabs,Emma ,GJid0jgRsqjUy21Avuex,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/2MLvQska9FVQGx1NsQL5lAJ3ajY2/voices/GJid0jgRsqjUy21Avuex/7745ef91-cbea-4ea7-9475-f577ebec2787.mp3,,shared
ElevenLabs,Eric,cjVigY5qzO86Huf0OWal,en,en,male,middle_aged,american,conversational,,https://storage.googleapis.com/eleven-public-prod/premade/voices/cjVigY5qzO86Huf0OWal/d098fda0-6456-4030-b3d8-63aa048c9070.mp3,,premade
ElevenLabs,Francisco Callwave,T34m9spsGzS35ojr2hvv,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/TY7dRn8myVg3e70FNWImfvktBYz2/voices/T34m9spsGzS35ojr2hvv/f8a6182c-af6b-4eb9-879a-2c54bc8acee0.mp3,,shared
ElevenLabs,Frida - Friendly German Voice,PmkWuBgfgyHPLOeC499E,de,de,female,young,standard,narrative_story,,https://storage.googleapis.com/eleven-public-prod/database/user/Ugu0tUnhweQjZLi9GZUX14rN1JG3/voices/PmkWuBgfgyHPLOeC499E/xpgyCdFNTFDg7Ce8PENZ.mp3,,professional
ElevenLabs,Gavin,h8Iysf7phb9YESW4dJV3,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/Yt2rXiUy6UVpzO7d2v3HVY6TLHv1/voices/h8Iysf7phb9YESW4dJV3/9ea068af-2e4a-4bd1-b24a-a12ec4ad6f8a.mp3,,shared
ElevenLabs,Gentle Hans – Emotional Presence,JPebmqlSqzZByHeisFPx,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/uLKJVQP7amaL6GJvMM6U9eS4rFj2/voices/JPebmqlSqzZByHeisFPx/iL3pNSiNlCR9QCtEy5K7.mp3,,shared
ElevenLabs,George,JBFqnCBsd6RMkjVDRZzb,en,en,male,middle_aged,british,narrative_story,,https://storage.googleapis.com/eleven-public-prod/premade/voices/JBFqnCBsd6RMkjVDRZzb/e6206d1a-0721-4787-aafb-06a6e705cac5.mp3,,premade
ElevenLabs,Gregory Grumble - Old lovable bedtime bear. ,8TMmdpPgqHKvDOGYP2lN,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/gZiPJ4XvPyank4m6aSXGcASkXl12/voices/8TMmdpPgqHKvDOGYP2lN/3f6df53c-ef9e-4fb1-988e-5831b1f68f45.mp3,,shared
ElevenLabs,Han Aim,8jHHF8rMqMlg8if2mOUe,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/Fr7oFHV6gLSelNy4rFVRp4lCJCV2/voices/8jHHF8rMqMlg8if2mOUe/YIorkj9cjDLOs3Qrv4iJ.mp3,,shared
ElevenLabs,Happy Australian Woman,5GZaeOOG7yqLdoTRsaa6,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/Vq0TAFl3e4VrZvcTa8gH8gzdYTC3/voices/5GZaeOOG7yqLdoTRsaa6/b21b4463-2b64-498f-99cd-1c0170bafbd3.mp3,,shared
ElevenLabs,Ingrid,GVAha50GqkcI1LZYdmeA,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/YzlK3dN1ojeUeVtnChs0CIRz9th1/voices/GVAha50GqkcI1LZYdmeA/Jbl9mD6KpveWNjDUNUjR.mp3,,shared
ElevenLabs,Isabelle,qyIXUpjnL8Ey2pTSGJpU,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/BtBofmzEx5Wz7GGAjfVFyywXNAr1/voices/qyIXUpjnL8Ey2pTSGJpU/2a93194b-d816-4759-aa53-93ed2da3bc16.mp3,,shared
ElevenLabs,Jason ,05GwVEn6KRAutaxHVzpr,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/7OqWZHsfijURxaaB6ZujBHjqZIT2/voices/05GwVEn6KRAutaxHVzpr/d6e34773-b1eb-4dc1-a11c-9dbe9a8deeac.mp3,,shared
ElevenLabs,Jeet – Warm Companion for Lonely Hours,WffdYtALnWHwMOtLM7Hk,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/WffdYtALnWHwMOtLM7Hk/GfnJOA44i9WFksjfEu3k.mp3,,shared
ElevenLabs,Jeffrey Mc,7My6lZUGB8fakyiotLyw,,,,,,,,https://storage.googleapis.com/eleven-public-prod/database/user/FVGt00lurUNWw4P7CXuDNKR7XLJ3/voices/7My6lZUGB8fakyiotLyw/851oaasApC6Pf3K8Gu2m.mp3,,shared
